Name;Vorname;Geschlecht;Geburtsdatum;Übung;Kategorie;Datum;Ergebnis;Punkte
Schulz;Marie;f;01.01.2012;Standweitsprung, 10-11;Kraft;14.02.2025;Bronze;1.38
Koch;Emma;f;01.01.2010;Schleuderball, 12-13;Koordination;09.09.2025;Bronze;15.59
Klein;Alex;m;01.01.2011;Radfahren, 10-11;Schnelligkeit;15.04.2025;Bronze;0.31
Klein;Noah;m;01.01.2008;Radfahren, 10-11;Schnelligkeit;19.03.2025;Bronze;0.3
Becker;Lukas;m;01.01.2011;Werfen, 10-11;Kraft;14.07.2025;Bronze;27.98
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Ausdauer;12.04.2025;Bronze;50.19
Krüger;Nina;f;01.01.2011;Laufen, 10-11;Schnelligkeit;24.10.2025;Bronze;0.14
Richter;Ben;m;01.01.2008;Schwimmen, 10-11;Schnelligkeit;23.07.2025;Bronze;0.36
Werner;Clara;f;01.01.2011;Weitsprung, 10-11;Koordination;14.03.2025;Bronze;3.26
Schulz;Marie;f;01.01.2012;Radfahren, 10-11;Schnelligkeit;02.07.2025;Bronze;0.52
Zimmermann;Leon;m;01.01.2010;Laufen, 10-11;Ausdauer;28.06.2025;Bronze;5.63
Schulz;Marie;f;01.01.2012;Radfahren, 10-11;Ausdauer;25.01.2025;Bronze;47.95
Hoffmann;Paul;m;01.01.2008;Radfahren, 10-11;Ausdauer;27.01.2025;Bronze;49.35
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Ausdauer;20.08.2025;Bronze;46.94
Neumann;Tim;m;01.01.2008;Laufen, 10-11;Schnelligkeit;25.02.2025;Bronze;0.13
Neumann;Tim;m;01.01.2008;Radfahren, 10-11;Ausdauer;04.07.2025;Bronze;64.02
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Schnelligkeit;07.02.2025;Bronze;0.53
Klein;Alex;m;01.01.2011;Laufen, 10-11;Ausdauer;07.04.2025;Bronze;4.53
Schneider;Lilly;f;01.01.2012;Laufen, 10-11;Schnelligkeit;01.04.2025;Bronze;0.1
Wagner;Lara;f;01.01.2011;Werfen, 10-11;Kraft;22.10.2025;Bronze;18.92
Wolf;Max;m;01.01.2009;Schwimmen, 10-11;Schnelligkeit;26.06.2025;Bronze;0.36
Werner;Clara;f;01.01.2011;Standweitsprung, 10-11;Kraft;10.01.2025;Bronze;1.21
Werner;Clara;f;01.01.2011;Schwimmen, 10-11;Ausdauer;25.07.2025;Bronze;9.11
Fischer;Emily;f;01.01.2010;Schleuderball, 12-13;Koordination;15.03.2025;Bronze;20.39
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Ausdauer;05.06.2025;Bronze;9.73
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Ausdauer;06.04.2025;Bronze;68.21
Schneider;Lilly;f;01.01.2012;Schleuderball, 12-13;Koordination;01.04.2025;Bronze;20.49
Richter;Ben;m;01.01.2008;Radfahren, 10-11;Ausdauer;19.04.2025;Bronze;47.44
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Ausdauer;14.05.2025;Bronze;66.78
Hartmann;Anna;f;01.01.2009;Drehwurf, 10-11;Koordination;10.03.2025;Bronze;24.2
Klein;Noah;m;01.01.2008;Radfahren, 10-11;Schnelligkeit;28.06.2025;Bronze;0.47
Richter;Ben;m;01.01.2008;Schwimmen, 10-11;Ausdauer;02.09.2025;Bronze;7.47
Werner;Clara;f;01.01.2011;Schleuderball, 12-13;Koordination;17.03.2025;Bronze;22.09
Klein;Noah;m;01.01.2008;Laufen, 10-11;Schnelligkeit;03.02.2025;Bronze;0.13
Bauer;Sophie;f;01.01.2008;Schwimmen, 10-11;Ausdauer;10.02.2025;Bronze;9.7
Klein;Alex;m;01.01.2011;Laufen, 10-11;Ausdauer;20.01.2025;Bronze;4.43
Krüger;Nina;f;01.01.2011;Laufen, 10-11;Schnelligkeit;21.01.2025;Bronze;0.13
Klein;Noah;m;01.01.2008;Schwimmen, 10-11;Ausdauer;29.06.2025;Bronze;7.13
Schneider;Lilly;f;01.01.2012;Laufen, 10-11;Schnelligkeit;06.10.2025;Bronze;0.13
Schneider;Lilly;f;01.01.2012;Weitsprung, 10-11;Koordination;10.03.2025;Bronze;2.21
Richter;Ben;m;01.01.2008;Hochsprung, 10-11;Koordination;12.06.2025;Bronze;1.02
Richter;Ben;m;01.01.2008;Laufen, 10-11;Schnelligkeit;07.01.2025;Bronze;0.1
Schäfer;Luis;m;01.01.2009;Schwimmen, 10-11;Ausdauer;06.02.2025;Bronze;8.72
Hoffmann;Paul;m;01.01.2008;Laufen, 10-11;Ausdauer;23.09.2025;Bronze;5.32
Werner;Clara;f;01.01.2011;Schwimmen, 10-11;Ausdauer;14.02.2025;Bronze;7.2
Schulz;Marie;f;01.01.2012;Weitsprung, 10-11;Koordination;20.06.2025;Bronze;2.31
Meier;Jonas;m;01.01.2010;Laufen, 10-11;Schnelligkeit;04.04.2025;Bronze;0.14
Werner;Clara;f;01.01.2011;Radfahren, 10-11;Ausdauer;28.08.2025;Bronze;73.16
Bauer;Sophie;f;01.01.2008;Laufen, 10-11;Ausdauer;19.02.2025;Bronze;7.13
Zimmermann;Leon;m;01.01.2010;Werfen, 10-11;Kraft;04.05.2025;Bronze;22.2
Meier;Jonas;m;01.01.2010;Hochsprung, 10-11;Koordination;27.04.2025;Bronze;0.83
Schmidt;Tom;m;01.01.2009;Laufen, 10-11;Ausdauer;29.03.2025;Bronze;7.63
Schulz;Marie;f;01.01.2012;Werfen, 10-11;Kraft;11.08.2025;Bronze;11.2
Schneider;Lilly;f;01.01.2012;Weitsprung, 10-11;Koordination;27.07.2025;Bronze;2.09
Schulz;Marie;f;01.01.2012;Schwimmen, 10-11;Schnelligkeit;22.01.2025;Bronze;0.43
Meier;Jonas;m;01.01.2010;Laufen, 10-11;Schnelligkeit;23.04.2025;Bronze;0.09
Neumann;Tim;m;01.01.2008;Laufen, 10-11;Ausdauer;13.10.2025;Bronze;5.0
Klein;Noah;m;01.01.2008;Laufen, 10-11;Ausdauer;08.04.2025;Bronze;4.89
Schäfer;Luis;m;01.01.2009;Schwimmen, 10-11;Schnelligkeit;24.09.2025;Bronze;0.33
Becker;Lukas;m;01.01.2011;Radfahren, 10-11;Schnelligkeit;20.09.2025;Bronze;0.47
Schulz;Marie;f;01.01.2012;Radfahren, 10-11;Ausdauer;10.08.2025;Bronze;46.61
Meier;Jonas;m;01.01.2010;Radfahren, 10-11;Ausdauer;11.07.2025;Bronze;50.38
Fischer;Emily;f;01.01.2010;Radfahren, 10-11;Schnelligkeit;25.10.2025;Bronze;0.38
Hoffmann;Paul;m;01.01.2008;Schwimmen, 10-11;Ausdauer;08.01.2025;Bronze;6.32
Koch;Emma;f;01.01.2010;Schwimmen, 10-11;Ausdauer;06.02.2025;Bronze;7.13
Schneider;Lilly;f;01.01.2012;Schwimmen, 10-11;Ausdauer;14.07.2025;Bronze;7.27
Zimmermann;Leon;m;01.01.2010;Radfahren, 10-11;Schnelligkeit;01.09.2025;Bronze;0.34
